FacilityType,Total_Count,Traveller_Need,Availability_Rate
Airport,146,Accessible,0.7671232876712328
Airport,146,Baby_Change,0.4246575342465753
Airport,146,Parking,0.6643835616438356
Airport,146,Shower,0.11643835616438356
Airport,146,Dump_Point,0.00684931506849315
Airport,146,Drinking_Water,0.2876712328767123
Airport,146,TwentyFour_Hour,0.3424657534246575
Beach,508,Accessible,0.5905511811023622
Beach,508,Baby_Change,0.1594488188976378
Beach,508,Parking,0.7066929133858267
Beach,508,Shower,0.3779527559055118
Beach,508,Dump_Point,0.01968503937007874
Beach,508,Drinking_Water,0.1515748031496063
Beach,508,TwentyFour_Hour,0.59251968503937
Bus station,94,Accessible,0.7659574468085106
Bus station,94,Baby_Change,0.43617021276595747
Bus station,94,Parking,0.7127659574468085
Bus station,94,Shower,0.0851063829787234
Bus station,94,Dump_Point,0.031914893617021274
Bus station,94,Drinking_Water,0.1595744680851064
Bus station,94,TwentyFour_Hour,0.32978723404255317
Camping ground,693,Accessible,0.35209235209235207
Camping ground,693,Baby_Change,0.020202020202020204
Camping ground,693,Parking,0.5757575757575758
Camping ground,693,Shower,0.16161616161616163
Camping ground,693,Dump_Point,0.10533910533910534
Camping ground,693,Drinking_Water,0.13997113997113997
Camping ground,693,TwentyFour_Hour,0.8831168831168831
Car park,759,Accessible,0.7562582345191041
Car park,759,Baby_Change,0.28063241106719367
Car park,759,Parking,0.7812911725955204
Car park,759,Shower,0.08563899868247694
Car park,759,Dump_Point,0.03557312252964427
Car park,759,Drinking_Water,0.09881422924901186
Car park,759,TwentyFour_Hour,0.5019762845849802
Caravan park,170,Accessible,0.3235294117647059
Caravan park,170,Baby_Change,0.058823529411764705
Caravan park,170,Parking,0.37058823529411766
Caravan park,170,Shower,0.23529411764705882
Caravan park,170,Dump_Point,0.6294117647058823
Caravan park,170,Drinking_Water,0.12352941176470589
Caravan park,170,TwentyFour_Hour,0.788235294117647
Cemetery,180,Accessible,0.4888888888888889
Cemetery,180,Baby_Change,0.06666666666666667
Cemetery,180,Parking,0.6833333333333333
Cemetery,180,Shower,0.005555555555555556
Cemetery,180,Dump_Point,0.011111111111111112
Cemetery,180,Drinking_Water,0.08888888888888889
Cemetery,180,TwentyFour_Hour,0.46111111111111114
Community building,1010,Accessible,0.7623762376237624
Community building,1010,Baby_Change,0.38811881188118813
Community building,1010,Parking,0.7376237623762376
Community building,1010,Shower,0.06831683168316832
Community building,1010,Dump_Point,0.01089108910891089
Community building,1010,Drinking_Water,0.21683168316831683
Community building,1010,TwentyFour_Hour,0.18217821782178217
Food outlet,495,Accessible,0.8242424242424242
