FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,OpeningHours,Parking,ParkingAccessible,Accessible,BabyChange,BabyCareRoom,DumpPoint,Shower,DrinkingWater,MLAK24,PaymentRequired,Is_24_Hour
1,Sandy Beach Reserve,Park or reserve,Bassendean,WA,-31.921836,115.95020622,OPEN: 24 hours,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2,Point Reserve,Park or reserve,Bassendean,WA,-31.9044101,115.9609911,OPEN: Daylight hours,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3,Success Hill Reserve,Park or reserve,Bassendean,WA,-31.89628865,115.95578101,OPEN: Daylight hours,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,Jubilee Reserve,Park or reserve,Eden Hill,WA,-31.891474,115.9401637,OPEN: Daylight hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,Ashfield Reserve,Park or reserve,Ashfield,WA,-31.91343349,115.9364772,"OPEN: Fri-Sun 6:30am-6pm, Mon-Thu 6:30am-8:30pm",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,Mary Crescent Reserve,Park or reserve,Eden Hill,WA,-31.89036599,115.9480897,OPEN: Daylight hours,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,Bassendean Oval West,Sporting facility,Bassendean,WA,-31.90371581,115.9564902,OPEN: Variable hours,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Apex Park,Park or reserve,Moranbah,QLD,-22.01444418,148.04524183,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
16,Lions Park,Park or reserve,Moranbah,QLD,-21.9993408,148.04397329,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
17,Parella Street,Park or reserve,Moranbah,QLD,-22.0001525,148.04861593,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
18,Nolan Park,Park or reserve,Moranbah,QLD,-22.00330089,148.0661184,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
