FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,Traveller_Need,Available
1,Sandy Beach Reserve,Park or reserve,Bassendean,WA,-31.921836,115.95020622,24-hour access,TRUE
1,Sandy Beach Reserve,Park or reserve,Bassendean,WA,-31.921836,115.95020622,Accessible access,TRUE
1,Sandy Beach Reserve,Park or reserve,Bassendean,WA,-31.921836,115.95020622,Family support,TRUE
1,Sandy Beach Reserve,Park or reserve,Bassendean,WA,-31.921836,115.95020622,Caravan support,TRUE
2,Point Reserve,Park or reserve,Bassendean,WA,-31.9044101,115.9609911,Accessible access,TRUE
2,Point Reserve,Park or reserve,Bassendean,WA,-31.9044101,115.9609911,Family support,TRUE
2,Point Reserve,Park or reserve,Bassendean,WA,-31.9044101,115.9609911,Caravan support,TRUE
3,Success Hill Reserve,Park or reserve,Bassendean,WA,-31.89628865,115.95578101,Accessible access,TRUE
3,Success Hill Reserve,Park or reserve,Bassendean,WA,-31.89628865,115.95578101,Family support,TRUE
3,Success Hill Reserve,Park or reserve,Bassendean,WA,-31.89628865,115.95578101,Caravan support,TRUE
5,Ashfield Reserve,Park or reserve,Ashfield,WA,-31.91343349,115.9364772,Accessible access,TRUE
5,Ashfield Reserve,Park or reserve,Ashfield,WA,-31.91343349,115.9364772,Family support,TRUE
5,Ashfield Reserve,Park or reserve,Ashfield,WA,-31.91343349,115.9364772,Caravan support,TRUE
7,Mary Crescent Reserve,Park or reserve,Eden Hill,WA,-31.89036599,115.9480897,Accessible access,TRUE
7,Mary Crescent Reserve,Park or reserve,Eden Hill,WA,-31.89036599,115.9480897,Family support,TRUE
7,Mary Crescent Reserve,Park or reserve,Eden Hill,WA,-31.89036599,115.9480897,Caravan support,TRUE
15,Apex Park,Park or reserve,Moranbah,QLD,-22.01444418,148.04524183,24-hour access,TRUE
16,Lions Park,Park or reserve,Moranbah,QLD,-21.9993408,148.04397329,24-hour access,TRUE
17,Parella Street,Park or reserve,Moranbah,QLD,-22.0001525,148.04861593,24-hour access,TRUE
17,Parella Street,Park or reserve,Moranbah,QLD,-22.0001525,148.04861593,Accessible access,TRUE
17,Parella Street,Park or reserve,Moranbah,QLD,-22.0001525,148.04861593,Caravan support,TRUE
18,Nolan Park,Park or reserve,Moranbah,QLD,-22.00330089,148.0661184,24-hour access,TRUE
20,Binda Park,Park or reserve,Moranbah,QLD,-22.00496595,148.03704195,24-hour access,TRUE
20,Binda Park,Park or reserve,Moranbah,QLD,-22.00496595,148.03704195,Accessible access,TRUE
20,Binda Park,Park or reserve,Moranbah,QLD,-22.00496595,148.03704195,Family support,TRUE
21,Spring Park,Park or reserve,Clermont,QLD,-22.83389032,147.62859537,24-hour access,TRUE
22,Lions Park,Park or reserve,Clermont,QLD,-22.83004599,147.6280868,24-hour access,TRUE
23,Drummond Street,Park or reserve,Clermont,QLD,-22.81719492,147.6423012,24-hour access,TRUE
24,Centenary Park,Park or reserve,Clermont,QLD,-22.81908571,147.64473646,24-hour access,TRUE
25,Capella Street,Park or reserve,Clermont,QLD,-22.82389777,147.6410069,24-hour access,TRUE
29,Anzac Park,Park or reserve,Innisfail,QLD,-17.52406506,146.0278857,Accessible access,TRUE
30,Jack Fossey Park,Park or reserve,Innisfail,QLD,-17.52355834,146.03253866,Accessible access,TRUE
31,Fitzgerald Park,Park or reserve,Innisfail,QLD,-17.51994615,146.03116377,24-hour access,TRUE
33,Warrina Lakes,Park or reserve,Innisfail,QLD,-17.51839405,146.0246337,Accessible access,TRUE
35,Coconuts,Park or reserve,Coconuts,QLD,-17.50715757,146.06487428,24-hour access,TRUE
36,Flying Fish Point 2,Park or reserve,Flying Fish Point,QLD,-17.50206605,146.0762983,24-hour access,TRUE
37,Corso,Other,East Innisfail,QLD,-17.52522468,146.03531806,24-hour access,TRUE
38,Wrights Park,Park or reserve,East Innisfail,QLD,-17.52870492,146.039882,24-hour access,TRUE
39,Castor Park,Park or reserve,Mourilyan Harbour,QLD,-17.58434935,146.0404424,24-hour access,TRUE
39,Castor Park,Park or reserve,Mourilyan Harbour,QLD,-17.58434935,146.0404424,Accessible access,TRUE
41,South Johnstone,Park or reserve,South Johnstone,QLD,-17.59462436,145.9983923,24-hour access,TRUE
42,Mena Creek Road,Park or reserve,Germantown,QLD,-17.65462056,145.9567305,24-hour access,TRUE
47,Kurrimine Beach,Beach,Kurrimine Beach,QLD,-17.77664389,146.1081736,24-hour access,TRUE
48,Cowley Beach,Beach,Cowley Beach,QLD,-17.69539499,146.11187069,24-hour access,TRUE
49,Digger Creek,Park or reserve,El Arish,QLD,-17.79569638,146.01076283,24-hour access,TRUE
50,Returned Services League Club,Other,El Arish,QLD,-17.80691645,146.0044798,24-hour access,TRUE
51,Village Green,Park or reserve,Mission Beach,QLD,-17.8691984,146.106737,24-hour access,TRUE
51,Village Green,Park or reserve,Mission Beach,QLD,-17.8691984,146.106737,Accessible access,TRUE
52,Stinger Net,Car park,Mission Beach,QLD,-17.871178,146.1066188,24-hour access,TRUE
52,Stinger Net,Car park,Mission Beach,QLD,-17.871178,146.1066188,Accessible access,TRUE
56,Cutten Street,Other,Bingil Bay,QLD,-17.83093616,146.099498,24-hour access,TRUE
60,Mourilyan Harbour,Other,Mourilyan Harbour,QLD,-17.59892284,146.1255684,24-hour access,TRUE
60,Mourilyan Harbour,Other,Mourilyan Harbour,QLD,-17.59892284,146.1255684,Accessible access,TRUE
61,Innisfail Cemetery,Cemetery,Mighell,QLD,-17.53188869,146.02755358,24-hour access,TRUE
61,Innisfail Cemetery,Cemetery,Mighell,QLD,-17.53188869,146.02755358,Accessible access,TRUE
65,Alan Anderson Park,Park or reserve,Walliston,WA,-32.00634,116.08274,24-hour access,TRUE
67,Pickering Brook,Other,Pickering Brook,WA,-32.03479483,116.1318301,24-hour access,TRUE
67,Pickering Brook,Other,Pickering Brook,WA,-32.03479483,116.1318301,Accessible access,TRUE
67,Pickering Brook,Other,Pickering Brook,WA,-32.03479483,116.1318301,Caravan support,TRUE
68,Kalamunda Bus Station,Bus station,Kalamunda,WA,-31.97400015,116.05742268,24-hour access,TRUE
69,Fleming Reserve,Park or reserve,High Wycombe,WA,-31.94465565,115.99603809,24-hour access,TRUE
69,Fleming Reserve,Park or reserve,High Wycombe,WA,-31.94465565,115.99603809,Accessible access,TRUE
69,Fleming Reserve,Park or reserve,High Wycombe,WA,-31.94465565,115.99603809,Family support,TRUE
70,Gooseberry Hill,Park or reserve,Gooseberry Hill,WA,-31.95614626,116.05784683,24-hour access,TRUE
70,Gooseberry Hill,Park or reserve,Gooseberry Hill,WA,-31.95614626,116.05784683,Caravan support,TRUE
71,Jorgensen Park - Kalamunda Community Centre,Park or reserve,Kalamunda,WA,-31.97216554,116.06515252,24-hour access,TRUE
71,Jorgensen Park - Kalamunda Community Centre,Park or reserve,Kalamunda,WA,-31.97216554,116.06515252,Accessible access,TRUE
71,Jorgensen Park - Kalamunda Community Centre,Park or reserve,Kalamunda,WA,-31.97216554,116.06515252,Family support,TRUE
71,Jorgensen Park - Kalamunda Community Centre,Park or reserve,Kalamunda,WA,-31.97216554,116.06515252,Caravan support,TRUE
72,Kalamunda Library,Community building,Kalamunda,WA,-31.97093917,116.06003685,Family support,TRUE
72,Kalamunda Library,Community building,Kalamunda,WA,-31.97093917,116.06003685,Caravan support,TRUE
74,Lesmurdie Falls,Park or reserve,Lesmurdie,WA,-31.99553312,116.03372231,24-hour access,TRUE
76,Maida Vale Reserve,Sporting facility,Maida Vale,WA,-31.94915366,116.02638913,24-hour access,TRUE
78,Stirk Park,Park or reserve,Kalamunda,WA,-31.96927928,116.05479621,Accessible access,TRUE
78,Stirk Park,Park or reserve,Kalamunda,WA,-31.96927928,116.05479621,Family support,TRUE
78,Stirk Park,Park or reserve,Kalamunda,WA,-31.96927928,116.05479621,Caravan support,TRUE
79,SKAMP Hall,Sporting facility,Lesmurdie,WA,-31.9920893,116.0496666,24-hour access,TRUE
79,SKAMP Hall,Sporting facility,Lesmurdie,WA,-31.9920893,116.0496666,Caravan support,TRUE
80,Town Hall Square,Other,Kalamunda,WA,-31.97197326,116.05801028,Accessible access,TRUE
80,Town Hall Square,Other,Kalamunda,WA,-31.97197326,116.05801028,Caravan support,TRUE
86,Town Beach,Beach,Exmouth,WA,-21.9453106,114.1397015,24-hour access,TRUE
86,Town Beach,Beach,Exmouth,WA,-21.9453106,114.1397015,Caravan support,TRUE
89,Ningaloo Centre,Other,Exmouth,WA,-22.0190865,114.1117995,Accessible access,TRUE
91,Dunes Beach,Beach,North West Cape,WA,-21.80481026,114.10705415,24-hour access,TRUE
91,Dunes Beach,Beach,North West Cape,WA,-21.80481026,114.10705415,Accessible access,TRUE
92,Tantabiddi Boat Ramp,Car park,North West Cape,WA,-21.91244166,113.97921243,24-hour access,TRUE
92,Tantabiddi Boat Ramp,Car park,North West Cape,WA,-21.91244166,113.97921243,Accessible access,TRUE
93,Truck Stop,Other,Thargomindah,QLD,-27.99442962,143.82115128,24-hour access,TRUE
93,Truck Stop,Other,Thargomindah,QLD,-27.99442962,143.82115128,Caravan support,TRUE
94,Thargo Roadhouse,Service station,Thargomindah,QLD,-27.99442957,143.82284626,24-hour access,TRUE
94,Thargo Roadhouse,Service station,Thargomindah,QLD,-27.99442957,143.82284626,Accessible access,TRUE
95,Napunyah Caravan Park,Caravan park,Thargomindah,QLD,-27.99712237,143.82525576,24-hour access,TRUE
95,Napunyah Caravan Park,Caravan park,Thargomindah,QLD,-27.99712237,143.82525576,Accessible access,TRUE
95,Napunyah Caravan Park,Caravan park,Thargomindah,QLD,-27.99712237,143.82525576,Family support,TRUE
95,Napunyah Caravan Park,Caravan park,Thargomindah,QLD,-27.99712237,143.82525576,Caravan support,TRUE
97,Torrence Parade,Other,Hungerford,QLD,-28.99604467,144.41060826,24-hour access,TRUE
97,Torrence Parade,Other,Hungerford,QLD,-28.99604467,144.41060826,Accessible access,TRUE
99,William Simmons Memorial Park,Park or reserve,Millmerran,QLD,-27.87681745,151.2580584,24-hour access,TRUE
100,Factory Dam Park,Park or reserve,Millmerran,QLD,-27.87407333,151.26850759,24-hour access,TRUE
101,Anzac Memorial Park,Park or reserve,Millmerran,QLD,-27.87501495,151.2702658,24-hour access,TRUE
101,Anzac Memorial Park,Park or reserve,Millmerran,QLD,-27.87501495,151.2702658,Accessible access,TRUE
101,Anzac Memorial Park,Park or reserve,Millmerran,QLD,-27.87501495,151.2702658,Family support,TRUE
102,Lions Park,Park or reserve,Millmerran,QLD,-27.87455141,151.27414818,24-hour access,TRUE
102,Lions Park,Park or reserve,Millmerran,QLD,-27.87455141,151.27414818,Accessible access,TRUE
104,Yarramalong Weir,Camping ground,Tummaville,QLD,-27.8360624,151.45018661,24-hour access,TRUE
106,Apex Park,Park or reserve,Cecil Plains,QLD,-27.53251223,151.20467103,24-hour access,TRUE
107,Short Street,Other,Beaudesert,QLD,-27.98728166,152.995396,24-hour access,TRUE
107,Short Street,Other,Beaudesert,QLD,-27.98728166,152.995396,Accessible access,TRUE
108,Jubilee Park,Park or reserve,Beaudesert,QLD,-27.9895395,152.9947928,Accessible access,TRUE
109,Selwyn Park,Park or reserve,Beaudesert,QLD,-27.98912589,152.9900359,24-hour access,TRUE
109,Selwyn Park,Park or reserve,Beaudesert,QLD,-27.98912589,152.9900359,Accessible access,TRUE
110,Darlington Park,Camping ground,Darlington,QLD,-28.18623186,153.0413241,Accessible access,TRUE
110,Darlington Park,Camping ground,Darlington,QLD,-28.18623186,153.0413241,Caravan support,TRUE
111,Burgess Park,Caravan park,Southern Lamington,QLD,-28.23893635,152.99585,24-hour access,TRUE
112,Stinson Park,Camping ground,Southern Lamington,QLD,-28.28729982,153.0360018,24-hour access,TRUE
112,Stinson Park,Camping ground,Southern Lamington,QLD,-28.28729982,153.0360018,Accessible access,TRUE
114,Tilley Park,Park or reserve,Rathdowney,QLD,-28.22161473,152.8589774,24-hour access,TRUE
114,Tilley Park,Park or reserve,Rathdowney,QLD,-28.22161473,152.8589774,Accessible access,TRUE
115,Collins Park,Park or reserve,Rathdowney,QLD,-28.21135412,152.8639323,24-hour access,TRUE
115,Collins Park,Park or reserve,Rathdowney,QLD,-28.21135412,152.8639323,Accessible access,TRUE
116,Greenbank Meadows Park,Park or reserve,Greenbank,QLD,-27.72763687,153.0031428,24-hour access,TRUE
116,Greenbank Meadows Park,Park or reserve,Greenbank,QLD,-27.72763687,153.0031428,Accessible access,TRUE
117,Pioneer Park,Park or reserve,Woodhill,QLD,-27.90050994,152.973296,24-hour access,TRUE
119,North Tamborine Park,Park or reserve,Tamborine Mountain,QLD,-27.92298362,153.1836499,24-hour access,TRUE
119,North Tamborine Park,Park or reserve,Tamborine Mountain,QLD,-27.92298362,153.1836499,Accessible access,TRUE
120,Tully Memorial Park (Pony club),Park or reserve,North Maclean,QLD,-27.78126023,153.0095502,Accessible access,TRUE
123,Doughty Park,Park or reserve,Tamborine Mountain,QLD,-27.92814951,153.1851172,24-hour access,TRUE
123,Doughty Park,Park or reserve,Tamborine Mountain,QLD,-27.92814951,153.1851172,Accessible access,TRUE
123,Doughty Park,Park or reserve,Tamborine Mountain,QLD,-27.92814951,153.1851172,Family support,TRUE
124,Staffsmith Park,Park or reserve,Tamborine Mountain,QLD,-27.92211697,153.2086813,24-hour access,TRUE
124,Staffsmith Park,Park or reserve,Tamborine Mountain,QLD,-27.92211697,153.2086813,Accessible access,TRUE
125,Rosser Park,Park or reserve,Tamborine Mountain,QLD,-27.97299655,153.1968815,24-hour access,TRUE
125,Rosser Park,Park or reserve,Tamborine Mountain,QLD,-27.97299655,153.1968815,Accessible access,TRUE
126,Tamborine Memorial Grounds,Park or reserve,Tamborine,QLD,-27.8772353,153.1250571,24-hour access,TRUE
126,Tamborine Memorial Grounds,Park or reserve,Tamborine,QLD,-27.8772353,153.1250571,Accessible access,TRUE
127,Smith Park,Park or reserve,Canungra,QLD,-28.01761469,153.1643722,24-hour access,TRUE
