State,Quarter,Value,Metric,Unit,Quarter_Order,Trips_Million,Demand_Rank
New South Wales,March Quarter 2025,29803.688,Total domestic trips,'000 trips,1,29.803687999999998,1
Victoria,March Quarter 2025,29181.053,Total domestic trips,'000 trips,1,29.181053,2
Queensland,March Quarter 2025,18277.157,Total domestic trips,'000 trips,1,18.277157,3
Western Australia,March Quarter 2025,9360.594,Total domestic trips,'000 trips,1,9.360593999999999,4
South Australia,March Quarter 2025,6008.475,Total domestic trips,'000 trips,1,6.008475000000001,5
Tasmania,March Quarter 2025,2041.376,Total domestic trips,'000 trips,1,2.041376,6
Australian Capital Territory,March Quarter 2025,1029.797,Total domestic trips,'000 trips,1,1.029797,7
Northern Territory,March Quarter 2025,441.764,Total domestic trips,'000 trips,1,0.441764,8
New South Wales,June Quarter 2025,30289.247,Total domestic trips,'000 trips,2,30.289247,1
Victoria,June Quarter 2025,28286.693,Total domestic trips,'000 trips,2,28.286693,2
Queensland,June Quarter 2025,20650.539,Total domestic trips,'000 trips,2,20.650539000000002,3
Western Australia,June Quarter 2025,9697.704,Total domestic trips,'000 trips,2,9.697704,4
South Australia,June Quarter 2025,5935.017,Total domestic trips,'000 trips,2,5.935017,5
Tasmania,June Quarter 2025,1829.95,Total domestic trips,'000 trips,2,1.82995,6
Australian Capital Territory,June Quarter 2025,1036.645,Total domestic trips,'000 trips,2,1.036645,7
Northern Territory,June Quarter 2025,626.296,Total domestic trips,'000 trips,2,0.6262960000000001,8
New South Wales,September Quarter 2025,31030.303,Total domestic trips,'000 trips,3,31.030303,1
Victoria,September Quarter 2025,28840.018,Total domestic trips,'000 trips,3,28.840018,2
Queensland,September Quarter 2025,21655.502,Total domestic trips,'000 trips,3,21.655502000000002,3
Western Australia,September Quarter 2025,9944.511,Total domestic trips,'000 trips,3,9.944511,4
South Australia,September Quarter 2025,6002.535,Total domestic trips,'000 trips,3,6.002535,5
Tasmania,September Quarter 2025,1790.859,Total domestic trips,'000 trips,3,1.790859,6
Australian Capital Territory,September Quarter 2025,1158.336,Total domestic trips,'000 trips,3,1.158336,7
Northern Territory,September Quarter 2025,656.394,Total domestic trips,'000 trips,3,0.656394,8
New South Wales,December quarter 2025,32119.611,Total domestic trips,'000 trips,4,32.119611,1
Victoria,December quarter 2025,29613.431,Total domestic trips,'000 trips,4,29.613431000000002,2
Queensland,December quarter 2025,20717.541,Total domestic trips,'000 trips,4,20.717541,3
Western Australia,December quarter 2025,10036.442,Total domestic trips,'000 trips,4,10.036442,4
South Australia,December quarter 2025,6251.131,Total domestic trips,'000 trips,4,6.251131,5
Tasmania,December quarter 2025,1956.938,Total domestic trips,'000 trips,4,1.956938,6
Australian Capital Territory,December quarter 2025,1112.451,Total domestic trips,'000 trips,4,1.112451,7
Northern Territory,December quarter 2025,489.859,Total domestic trips,'000 trips,4,0.489859,8
