State,Quarter,Value,Metric,Unit
New South Wales,March Quarter 2025,29803.688,Total domestic trips,'000 trips
New South Wales,June Quarter 2025,30289.247,Total domestic trips,'000 trips
New South Wales,September Quarter 2025,31030.303,Total domestic trips,'000 trips
New South Wales,December quarter 2025,32119.611,Total domestic trips,'000 trips
Victoria,March Quarter 2025,29181.053,Total domestic trips,'000 trips
Victoria,June Quarter 2025,28286.693,Total domestic trips,'000 trips
Victoria,September Quarter 2025,28840.018,Total domestic trips,'000 trips
Victoria,December quarter 2025,29613.431,Total domestic trips,'000 trips
Queensland,March Quarter 2025,18277.157,Total domestic trips,'000 trips
Queensland,June Quarter 2025,20650.539,Total domestic trips,'000 trips
Queensland,September Quarter 2025,21655.502,Total domestic trips,'000 trips
Queensland,December quarter 2025,20717.541,Total domestic trips,'000 trips
South Australia,March Quarter 2025,6008.475,Total domestic trips,'000 trips
South Australia,June Quarter 2025,5935.017,Total domestic trips,'000 trips
South Australia,September Quarter 2025,6002.535,Total domestic trips,'000 trips
South Australia,December quarter 2025,6251.131,Total domestic trips,'000 trips
Western Australia,March Quarter 2025,9360.594,Total domestic trips,'000 trips
Western Australia,June Quarter 2025,9697.704,Total domestic trips,'000 trips
Western Australia,September Quarter 2025,9944.511,Total domestic trips,'000 trips
Western Australia,December quarter 2025,10036.442,Total domestic trips,'000 trips
Tasmania,March Quarter 2025,2041.376,Total domestic trips,'000 trips
Tasmania,June Quarter 2025,1829.95,Total domestic trips,'000 trips
Tasmania,September Quarter 2025,1790.859,Total domestic trips,'000 trips
Tasmania,December quarter 2025,1956.938,Total domestic trips,'000 trips
Northern Territory,March Quarter 2025,441.764,Total domestic trips,'000 trips
Northern Territory,June Quarter 2025,626.296,Total domestic trips,'000 trips
Northern Territory,September Quarter 2025,656.394,Total domestic trips,'000 trips
Northern Territory,December quarter 2025,489.859,Total domestic trips,'000 trips
Australian Capital Territory,March Quarter 2025,1029.797,Total domestic trips,'000 trips
Australian Capital Territory,June Quarter 2025,1036.645,Total domestic trips,'000 trips
Australian Capital Territory,September Quarter 2025,1158.336,Total domestic trips,'000 trips
Australian Capital Territory,December quarter 2025,1112.451,Total domestic trips,'000 trips
New South Wales,March Quarter 2025,33044.856,Visitor nights,'000 nights
New South Wales,June Quarter 2025,27613.92,Visitor nights,'000 nights
New South Wales,September Quarter 2025,26456.679,Visitor nights,'000 nights
New South Wales,December quarter 2025,31126.402,Visitor nights,'000 nights
Victoria,March Quarter 2025,26342.117,Visitor nights,'000 nights
Victoria,June Quarter 2025,20486.979,Visitor nights,'000 nights
Victoria,September Quarter 2025,18961.228,Visitor nights,'000 nights
Victoria,December quarter 2025,21450.006,Visitor nights,'000 nights
Queensland,March Quarter 2025,22568.689,Visitor nights,'000 nights
Queensland,June Quarter 2025,21782.211,Visitor nights,'000 nights
Queensland,September Quarter 2025,24305.39,Visitor nights,'000 nights
Queensland,December quarter 2025,23303.229,Visitor nights,'000 nights
South Australia,March Quarter 2025,7486.349,Visitor nights,'000 nights
South Australia,June Quarter 2025,6216.249,Visitor nights,'000 nights
South Australia,September Quarter 2025,5428.122,Visitor nights,'000 nights
South Australia,December quarter 2025,6426.621,Visitor nights,'000 nights
Western Australia,March Quarter 2025,9453.948,Visitor nights,'000 nights
Western Australia,June Quarter 2025,8586.518,Visitor nights,'000 nights
Western Australia,September Quarter 2025,8562.143,Visitor nights,'000 nights
Western Australia,December quarter 2025,8805.121,Visitor nights,'000 nights
Tasmania,March Quarter 2025,3435.463,Visitor nights,'000 nights
Tasmania,June Quarter 2025,2502.018,Visitor nights,'000 nights
Tasmania,September Quarter 2025,2127.16,Visitor nights,'000 nights
Tasmania,December quarter 2025,2613.117,Visitor nights,'000 nights
Northern Territory,March Quarter 2025,709.151,Visitor nights,'000 nights
Northern Territory,June Quarter 2025,1097.506,Visitor nights,'000 nights
Northern Territory,September Quarter 2025,1580.932,Visitor nights,'000 nights
Northern Territory,December quarter 2025,841.555,Visitor nights,'000 nights
Australian Capital Territory,March Quarter 2025,1652.197,Visitor nights,'000 nights
Australian Capital Territory,June Quarter 2025,1493.256,Visitor nights,'000 nights
Australian Capital Territory,September Quarter 2025,1529.473,Visitor nights,'000 nights
Australian Capital Territory,December quarter 2025,1611.436,Visitor nights,'000 nights
New South Wales,March Quarter 2025,11594.49,Regional expenditure,$M
New South Wales,June Quarter 2025,10552.316,Regional expenditure,$M
New South Wales,September Quarter 2025,10955.724,Regional expenditure,$M
New South Wales,December quarter 2025,12253.236,Regional expenditure,$M
Victoria,March Quarter 2025,9892.232,Regional expenditure,$M
Victoria,June Quarter 2025,8748.954,Regional expenditure,$M
Victoria,September Quarter 2025,8883,Regional expenditure,$M
Victoria,December quarter 2025,9517.955,Regional expenditure,$M
Queensland,March Quarter 2025,8823.585,Regional expenditure,$M
Queensland,June Quarter 2025,8894.989,Regional expenditure,$M
Queensland,September Quarter 2025,9688.666,Regional expenditure,$M
Queensland,December quarter 2025,9444.113,Regional expenditure,$M
South Australia,March Quarter 2025,2360.947,Regional expenditure,$M
South Australia,June Quarter 2025,2181.477,Regional expenditure,$M
South Australia,September Quarter 2025,2202.066,Regional expenditure,$M
